"run","mult","harvest","force","idx"
"base",0,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_1.prm","GOA_force_base.prm",1
"base",0.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_2.prm","GOA_force_base.prm",2
"base",0.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_3.prm","GOA_force_base.prm",3
"base",0.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_4.prm","GOA_force_base.prm",4
"base",0.8,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_5.prm","GOA_force_base.prm",5
"base",1,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_6.prm","GOA_force_base.prm",6
"base",1.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_7.prm","GOA_force_base.prm",7
"base",1.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_8.prm","GOA_force_base.prm",8
"base",1.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_9.prm","GOA_force_base.prm",9
"base",2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_10.prm","GOA_force_base.prm",10
"base",2.5,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_11.prm","GOA_force_base.prm",11
"base",3,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_12.prm","GOA_force_base.prm",12
"base",4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_13.prm","GOA_force_base.prm",13
"atf",0,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_1_ATF.prm","GOA_force_base.prm",14
"atf",0.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_2_ATF.prm","GOA_force_base.prm",15
"atf",0.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_3_ATF.prm","GOA_force_base.prm",16
"atf",0.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_4_ATF.prm","GOA_force_base.prm",17
"atf",0.8,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_5_ATF.prm","GOA_force_base.prm",18
"atf",1,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_6_ATF.prm","GOA_force_base.prm",19
"atf",1.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_7_ATF.prm","GOA_force_base.prm",20
"atf",1.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_8_ATF.prm","GOA_force_base.prm",21
"atf",1.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_9_ATF.prm","GOA_force_base.prm",22
"atf",2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_10_ATF.prm","GOA_force_base.prm",23
"atf",2.5,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_11_ATF.prm","GOA_force_base.prm",24
"atf",3,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_12_ATF.prm","GOA_force_base.prm",25
"atf",4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_13_ATF.prm","GOA_force_base.prm",26
"climate",0,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_1.prm","GOA_force_warm.prm",27
"climate",0.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_2.prm","GOA_force_warm.prm",28
"climate",0.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_3.prm","GOA_force_warm.prm",29
"climate",0.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_4.prm","GOA_force_warm.prm",30
"climate",0.8,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_5.prm","GOA_force_warm.prm",31
"climate",1,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_6.prm","GOA_force_warm.prm",32
"climate",1.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_7.prm","GOA_force_warm.prm",33
"climate",1.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_8.prm","GOA_force_warm.prm",34
"climate",1.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_9.prm","GOA_force_warm.prm",35
"climate",2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_10.prm","GOA_force_warm.prm",36
"climate",2.5,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_11.prm","GOA_force_warm.prm",37
"climate",3,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_12.prm","GOA_force_warm.prm",38
"climate",4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_13.prm","GOA_force_warm.prm",39
"atf_climate",0,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_1_ATF.prm","GOA_force_warm.prm",40
"atf_climate",0.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_2_ATF.prm","GOA_force_warm.prm",41
"atf_climate",0.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_3_ATF.prm","GOA_force_warm.prm",42
"atf_climate",0.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_4_ATF.prm","GOA_force_warm.prm",43
"atf_climate",0.8,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_5_ATF.prm","GOA_force_warm.prm",44
"atf_climate",1,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_6_ATF.prm","GOA_force_warm.prm",45
"atf_climate",1.2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_7_ATF.prm","GOA_force_warm.prm",46
"atf_climate",1.4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_8_ATF.prm","GOA_force_warm.prm",47
"atf_climate",1.6,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_9_ATF.prm","GOA_force_warm.prm",48
"atf_climate",2,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_10_ATF.prm","GOA_force_warm.prm",49
"atf_climate",2.5,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_11_ATF.prm","GOA_force_warm.prm",50
"atf_climate",3,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_12_ATF.prm","GOA_force_warm.prm",51
"atf_climate",4,"goa_runs/AtlantisGOA_OY_MS//GOA_harvest_13_ATF.prm","GOA_force_warm.prm",52
